id,user_id,order_date,status,items
1,1,2018-01-01,returned,1
2,3,2018-01-02,completed,1
3,94,2018-01-04,completed,1
4,50,2018-01-05,completed,3
5,64,2018-01-05,completed,2
6,54,2018-01-07,completed,1
7,88,2018-01-09,completed,4
8,2,2018-01-11,returned,2
9,53,2018-01-12,completed,5
10,7,2018-01-14,completed,1
11,99,2018-01-14,completed,1
12,59,2018-01-15,completed,1
13,84,2018-01-17,completed,2
14,40,2018-01-17,returned,4
15,25,2018-01-17,completed,2
16,39,2018-01-18,completed,1
17,71,2018-01-18,completed,2
18,64,2018-01-20,returned,3
19,54,2018-01-22,completed,5
20,20,2018-01-23,completed,3
21,71,2018-01-23,completed,3
22,86,2018-01-24,completed,2
23,22,2018-01-26,return_pending,0
24,3,2018-01-27,completed,1
25,51,2018-01-28,completed,1
26,32,2018-01-28,completed,2
27,94,2018-01-29,completed,1
28,8,2018-01-29,completed,4
29,57,2018-01-31,completed,2
30,69,2018-02-02,completed,3
31,16,2018-02-02,completed,1
32,28,2018-02-04,completed,6
33,42,2018-02-04,completed,3
34,38,2018-02-06,completed,1
35,80,2018-02-08,completed,5
36,85,2018-02-10,completed,1
37,1,2018-02-10,completed,1
38,51,2018-02-10,completed,1
39,26,2018-02-11,completed,1
40,33,2018-02-13,completed,1
41,99,2018-02-14,completed,1
42,92,2018-02-16,completed,1
43,31,2018-02-17,completed,2
44,66,2018-02-17,completed,2
45,22,2018-02-17,completed,2
46,6,2018-02-19,completed,2
47,50,2018-02-20,completed,4
48,27,2018-02-21,completed,2
49,35,2018-02-21,completed,2
50,51,2018-02-23,completed,4
51,71,2018-02-24,completed,2
52,54,2018-02-25,return_pending,1
53,34,2018-02-26,completed,2
54,54,2018-02-26,completed,2
55,18,2018-02-27,completed,1
56,79,2018-02-28,completed,3
57,93,2018-03-01,completed,2
58,22,2018-03-01,completed,1
59,30,2018-03-02,completed,1
60,12,2018-03-03,completed,2
61,63,2018-03-03,completed,2
62,57,2018-03-05,completed,4
63,70,2018-03-06,completed,4
64,13,2018-03-07,completed,3
65,26,2018-03-08,completed,1
66,36,2018-03-10,completed,2
67,79,2018-03-11,completed,2
68,53,2018-03-11,completed,1
69,3,2018-03-11,completed,3
70,8,2018-03-12,completed,5
71,42,2018-03-12,shipped,6
72,30,2018-03-14,shipped,1
73,19,2018-03-16,completed,2
74,9,2018-03-17,shipped,5
75,69,2018-03-18,completed,4
76,25,2018-03-20,completed,6
77,35,2018-03-21,shipped,3
78,90,2018-03-23,shipped,3
79,52,2018-03-23,shipped,3
80,11,2018-03-23,shipped,2
81,76,2018-03-23,shipped,1
82,46,2018-03-24,shipped,2
83,54,2018-03-24,shipped,4
84,70,2018-03-26,placed,5
85,47,2018-03-26,shipped,2
86,68,2018-03-26,placed,3
87,46,2018-03-27,placed,2
88,91,2018-03-27,shipped,2
89,21,2018-03-28,placed,1
90,66,2018-03-30,shipped,5
91,47,2018-03-31,placed,2
92,84,2018-04-02,placed,1
93,66,2018-04-03,placed,4
94,63,2018-04-03,placed,1
95,27,2018-04-04,placed,4
96,90,2018-04-06,placed,4
97,89,2018-04-07,placed,4
98,41,2018-04-07,placed,2
99,85,2018-04-09,placed,3

